topology: 3 15 2
error: 0 0.0870994 100
0 0 0 0.275263 -8.39097e-08
0 0 1 -0.788841 3.51219e-07
0 0 2 0.586423 2.32411e-06
0 0 3 0.395399 5.02207e-06
0 0 4 0.168749 -3.46155e-06
0 0 5 -0.0588472 8.07308e-06
0 0 6 -0.0201515 1.6292e-05
0 0 7 0.382266 6.7504e-06
0 0 8 -0.270335 -9.26169e-06
0 0 9 0.0193037 -1.7639e-06
0 0 10 -0.035827 4.54347e-06
0 0 11 0.113892 -1.25167e-05
0 0 12 0.0144031 -6.54048e-06
0 0 13 0.0444193 -9.97425e-07
0 0 14 -0.105714 1.43255e-05
0 1 0 -0.0966362 -5.76744e-07
0 1 1 -0.358218 2.38168e-06
0 1 2 0.246943 1.58023e-05
0 1 3 -0.708915 3.4129e-05
0 1 4 0.160431 -2.35236e-05
0 1 5 0.0319252 5.48676e-05
0 1 6 0.550554 0.000110733
0 1 7 -0.228744 4.58765e-05
0 1 8 0.219237 -6.2946e-05
0 1 9 0.0920781 -1.19864e-05
0 1 10 -0.664299 3.08753e-05
0 1 11 -0.408882 -8.5073e-05
0 1 12 -0.250605 -4.4457e-05
0 1 13 0.111044 -6.77579e-06
0 1 14 0.458083 9.73661e-05
0 2 0 -0.510039 -5.76705e-07
0 2 1 -0.0391965 2.38168e-06
0 2 2 0.128864 1.58021e-05
0 2 3 -0.223273 3.41287e-05
0 2 4 0.10594 -2.35235e-05
0 2 5 -0.905213 5.48674e-05
0 2 6 -0.967635 0.000110733
0 2 7 -0.365535 4.58763e-05
0 2 8 0.287039 -6.29457e-05
0 2 9 0.0657954 -1.19864e-05
0 2 10 0.0443695 3.08751e-05
0 2 11 0.3864 -8.50726e-05
0 2 12 0.0690321 -4.44567e-05
0 2 13 0.108966 -6.77576e-06
0 2 14 -0.711292 9.73657e-05
0 3 0 -0.0976457 -5.76705e-07
0 3 1 0.00829282 2.38168e-06
0 3 2 0.000876645 1.58021e-05
0 3 3 0.00706669 3.41287e-05
0 3 4 -0.00991465 -2.35235e-05
0 3 5 0.0518406 5.48674e-05
0 3 6 0.105924 0.000110733
0 3 7 -0.0477112 4.58763e-05
0 3 8 -0.141808 -6.29457e-05
0 3 9 -0.0198508 -1.19864e-05
0 3 10 0.119326 3.08751e-05
0 3 11 -0.114555 -8.50726e-05
0 3 12 0.0336112 -4.44567e-05
0 3 13 0.0375463 -6.77576e-06
0 3 14 0.0657664 9.73657e-05
1 0 0 0.00136162 -0.000142622
1 0 1 0.0603222 1.77697e-05
1 1 0 -0.00346578 -0.000114457
1 1 1 -0.110458 1.42632e-05
1 2 0 0.069519 0.000106028
1 2 1 -0.0926762 -1.32232e-05
1 3 0 0.267368 -0.000172053
1 3 1 -0.0207601 2.14161e-05
1 4 0 -0.0916537 6.75605e-05
1 4 1 0.0864148 -8.39606e-06
1 5 0 0.407499 -0.000167477
1 5 1 -0.0587362 2.08313e-05
1 6 0 0.509949 -7.60681e-05
1 6 1 0.099591 9.34644e-06
1 7 0 0.228398 -0.000129754
1 7 1 -0.228263 1.61339e-05
1 8 0 -0.297118 7.78205e-05
1 8 1 -0.108338 -9.62049e-06
1 9 0 -0.0505382 3.45161e-05
1 9 1 -0.0109351 -4.28577e-06
1 10 0 0.163977 -0.000114918
1 10 1 0.0404759 1.42877e-05
1 11 0 -0.350301 -2.82651e-05
1 11 1 0.0111127 3.62528e-06
1 12 0 -0.155439 -3.50377e-05
1 12 1 0.241275 4.40567e-06
1 13 0 -0.0159966 6.34267e-05
1 13 1 0.0996106 -7.90104e-06
1 14 0 0.411489 -5.04222e-05
1 14 1 -0.0130683 6.16652e-06
1 15 0 0.932048 0.000245527
1 15 1 -0.0820307 -3.05907e-05
